Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
Dermatology Specialist,"Bletchingley, United Kingdom",,,North Downs Specialist Referrals (NDSR),Attractive Salary plus Benefits,"North Downs Specialist Referrals is an internationally acknowledged centre of excellence for Specialist Veterinary Care, offering access to one of..."
Veterinary Surgeon,"Inverurie, Aberdeenshire",35500,50000,Donview Veterinary Centre,"Salary of £35,500 to £50,000 depending on experience",We are looking for a mixed practitioner to join our fantastic team of 13 vets. We offer a 4 day working week.
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,"""It's a wonderful practice. Always so kind and gentle with the animals. They don't rush you in and out, really take their time to explain and talk..."
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Situated on the beautiful south coast is our young and well-appointed practice. We are looking for an experienced veterinary surgeon, who could be..."
Graduate Veterinary Surgeon - Graduate Development Programme,"Nottinghamshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Mapperley Vets for Pets is looking for a new or recently graduated vet to join their team...
Veterinary Surgeon,"Staffordshire, United Kingdom",,,Vets4Pets,Competitive Salary,"If you are an enthusiastic veterinary surgeon looking for a new challenge, we have the perfect opportunity for you at our Stoke Festival Park Vets4..."
Veterinary Surgeon,"Marlborough, Wiltshire",50000,80000,Pet Practice,"Salary £50,000 to £80,000 commensurate with experience and hours","Friendly and professional growing, family owned, group of ten practices."
Veterinary Surgeon,"Salisbury, Wiltshire",40000,80000,Pet Practice,"Salary of £40,000 to £80,000 commensurate with experience and hours","Friendly and professional growing, family owned, group of nine practices."
Veterinary Surgeon,"Bournemouth, Dorset",50000,80000,Pet Practice,"Salary £50,000 to £80,000 commensurate with experience and hours",Friendly and family-owned group of twelve practices
Veterinary Surgeon,"Goostrey, Holmes Chapel, Cheshire",30000,75000,Goostrey Lane Vets,"Salary from £30,000 to £75,000 pro rata, depending on experience","Part-time vet required for a new, rapidly expanding independent family owned, 2 vet practice in Cheshire."
Sports Medicine Veterinary Surgeon,"Crewe, Cheshire",60000,100000,Medivet,"£60,000 - £100,000 per year","Building the best place to work in the veterinary industry is creating exceptional opportunities for people like you. Here, you won’t just be part ..."
Veterinary Surgeon,"Oakengates, Telford",60000,60000,Medivet,"Salary package up to £60,000 per annum","Veterinary Surgeon, Oakengates - Salary package up to £60,000 per annum"
Veterinary Surgeon - Small Animal,"Melrose, United Kingdom",45000,60000,Greenside Veterinary Practice,"£45,000 - £60,000 per annum, depending on experience","Due to an upcoming retirement, we are looking for an experienced small animal vet to join Greenside Vets. We are fortunate to have a wonderful tea..."
Veterinary Surgeon,"Worcester, United Kingdom",5000,,Brentknoll Veterinary Centre,"£60,000 per annum, £5,000 welcome bonus, Salary from and depending on experience","Brentknoll Vets has been caring for pets in the area for over 25 years and has a genuine family feel, with a new management team, fresh faces, wit..."
Veterinary Surgeon,"Gwynedd, United Kingdom",,,Vets4Pets,Competitive Salary,"If working alongside experienced, caring colleagues who love sharing their wealth of knowledge within a practice that is growing rapidly sounds lik..."
Lead Veterinary Surgeon,"London, United Kingdom",70000,70000,Village Vet,"£70,000 per annum, Up to, depending on experience",:    ' To be recognised as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that w...
Lead veterinary Surgeon,"Haslemere, United Kingdom",5000,,Linnaeus,"£65,000 per annum, £5,000 welcome bonus, Salary from depending on experience",Our Vision -'To be recognised as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities...
Diagnostic Imaging Clinician,"London, United Kingdom",,,Linnaeus,Attractive Salary plus Benefits,"London Vet Specialists is starting a new chapter with a major expansion and relocation to a new state-of-the-art site in Hammersmith, West London...."
Veterinary Surgeon (Glasgow & Surrounding area),"Glasgow, United Kingdom",60000,60000,The Pets'n'Vets Family,"£60,000 per annum, Salary up to",The Pets'n'Vets Family are an award-winning group of small animal practices that have been serving Glasgow and the surrounding areas for 50 years...
Veterinary Surgeon,"North Hykeham, Lincoln",65000,65000,Park View Veterinary Hospital,"Salary up to £65,000 depending on experience","Here at the Park View Veterinary Hospital, we are looking for a dedicated, enthusiastic and team-orientated Veterinary Surgeon to join us."
Veterinary Surgeon,"Long Stratton, Norwich",70000,70000,Chapelfield Veterinary Partnership - Long Stratton,"Salary up to £70,000 depending on experience",This position would suit a small animal vet who is confident in carrying out a mixture of consultations and operations.
Practice Ownership,"Rawtenstall, Rossendale",,,Vets for Pets,Competitive Salary,Partner with Vets for Pets to own your own Veterinary Practice and have true clinical independence.
Practice Ownership,"Leigh, Greater Manchester",,,Vets for Pets,Competitive Salary,Partner with Vets for Pets to own your own Veterinary Practice and have true clinical independence.
Veterinary Surgeon,Merthyr Tydfil (Merthyr Tudful),45000,60000,Medivet,"Salary £45,000 to £60,000 per year","Veterinary Surgeon, Merthyr Tydfil - Salary £45,000 to £60,000 per year"
Veterinary Surgeon,"Mountain Ash, Rhondda Cynon Taf",45000,50000,Medivet,"Salary £45,000 to £50,000 per year","Veterinary Surgeon, Mountain Ash - Salary £45,000 to £50,000 per year"
Veterinary Surgeon,"Belper, Derbyshire",65000,65000,Riverside Veterinary Centre,"Salary up to £65,000 depending on experience","It’s an exciting time at Riverside, we’re expanding! We are currently looking for two vets to join our friendly and supportive team."
Twilight Veterinary Surgeon,"Cambridge, United Kingdom",40000,40000,Village Vet,"£40,000 per annumup to, depending on experience, up to, depending on experience",: ' To be recognised as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that we s...
Veterinary Surgeon,"Old Kent Road, United Kingdom",,,Vets4Pets,Competitive Salary,"Would you like to be part of a dynamic, enthusiastic, and caring veterinary team in the heart of London? We are a small animal practice which has e..."
Veterinary Surgeon,"Lancashire, United Kingdom",,,Vets4Pets,Competitive Salary,"Are you looking to join a supportive team who prioritise patient care? If so, we have the perfect opportunity for you at our Wigan Vets for Pets pr..."
Graduate Veterinary Surgeon - Graduate Development Programme 2024,"Wiltshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Graduate Veterinary Surgeon - Graduate Programme Our Support, Your Future Join our 2024 Graduate Development Programme Locations near you & open fo..."
Veterinary Surgeon,"East Midlands, United Kingdom",,,Vets4Pets,Competitive Salary,Will your next career move be to join our hugely successful and established practice in Leicester Fosse Park? We are seeking an experienced veterin...
Veterinary Surgeon,"Antrim, United Kingdom",,,Vets4Pets,Competitive Salary,"We have an opportunity for an enthusiastic, professional Veterinary Surgeon to join our well-established team at Newtownabbey Vets4Pets. This is a..."
Veterinary Surgeon,"Stowmarket, Suffolk",40000,40000,Haughley Veterinary Centre,"Salary up to £40,000 FTE pro rata depending on experience",Would you like to work only on Saturdays?
Veterinary Surgeon - Redruth & Camborne,Cornwall,50000,70000,Medivet,"Salary of £50,000 - £70,000 per year","Veterinary Surgeon - Redruth & Camborne, Cornwall."
Joint Clinical Director,"New Milton, Hampshire",75000,75000,Forest Lodge Vet Practice Ltd,"Salary up to £75,000 depending on experience",Are you a Veterinary Surgeon looking to advance in your career? Or are you a Clinical Director ready for a new challenge. Look no further...
Veterinary Surgeon - Canonbury,"Canonbury, London (Greater)",60000,60000,Medivet,"Salary up to £60,000 per year",Keen to make some waves? Medivet Canonbury are recruiting for an experienced Veterinary Surgeon with an interest in diagnostic imaging!
Veterinary Surgeon,"North Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Vet Surgeon, Full or part time, fantastic opportunity to develop as practice grows Vets for Pets Middlesbrough Cleveland Park are looking for a Vet..."
Veterinary Surgeon,Cheshire,40000,60000,Barnhouse Vets,"Excellent salary package of £40,000 to £60,000 depending on experience","An exciting opportunity has arisen for a Veterinary Surgeon to work in our independent, small animal practice."
In-Home Euthanasia and Palliative Care Vets - South London,South West/South East London,0,72000,Roundwood Pet Hospice,"Salary up to £72,000.00",Compassionate and empathetic veterinarians sought nationwide to join our growing team of in home hospice and euthanasia specialists.
Veterinary Surgeon,"Lower Earley, Reading",65000,65000,Medivet,"Salary package up to £65,000",Full time Vet Surgeon wanted for our Lower Earley practice. Salary up to 65k working alongside Branch Partner Robert
Veterinary Surgeon,"Amington, Tamworth",75000,75000,St Mary's Veterinary Surgery,"Salary up to £75,000 depending on experience",Are you a dedicated Veterinary Surgeon looking to make a significant impact in a well-regarded small animal practice?
Veterinary Surgeon,"Devon, United Kingdom",,,Vets4Pets,Competitive Salary,Our Gold Standard Cat Clinic and RCVS accredited training practice Plymouth Woolwell Vets for Pets has an excellent opportunity for a veterinary su...
Veterinary Surgeon,"Derby, United Kingdom",,,Vets4Pets,Competitive Salary,Will your next career move be to join our successful practice in Derby? Our Joint Venture Partner Jason Davidson is looking for an experienced Vete...
Graduate Veterinary Surgeon,"Fife, United Kingdom",,,Vets4Pets,Competitive Salary,"If you're a friendly, happy, proactive and newly graduated vet we'd love for you to join our team at Vets4Pets Dunfermline Do you care about people..."
Veterinary Surgeon,"Wellingborough, Northamptonshire (GB)",,,Swanspool Veterinary Clinic,Salary will be dependent on experience,Exciting opportunity for a confident Small Animal Veterinary Surgeon to join our established independent practice.
Veterinary Surgeon - Christchurch,"Christchurch, Dorset",40000,70000,Medivet,"£40,000 - £70,000 per year","Veterinary Surgeon - Christchurch. Either a part time or a full time Vet. Salary ranging from £40,000 - £70,000 per year (D.O.E)"
Veterinary Surgeon,"Lincoln, Lincolnshire",65000,65000,LINCVET,"Salary up to £65,000 depending on experience",We have an exciting opportunity for a Veterinary Surgeon to join our friendly team at Lincvet.
Veterinary Surgeon,"Northamptonshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Veterinary Surgeon - Northampton Hospital Want to work in a brand new, state of the art small animal hospital? We are looking for a forward thinkin..."
Veterinary Surgeon,"Northumberland, United Kingdom",,,Vets4Pets,Competitive Salary,"Cramlington Vets4Pets are looking for a veterinary surgeon to join their established, vibrant team on a consult only basis working weekends. With s..."
Veterinary Surgeon,"West Lothian, United Kingdom",,,Vets4Pets,Competitive Salary,LIVINGSTON VETS4PETS - PART-TIME to FULL-TIME VET (25 - 40HRS) We have a fantastic opportunity for an experienced full-time Veterinary Surgeon to j...
Veterinary Surgeon,Derbyshire,75000,75000,The Charlesworth Veterinary Surgery,"Salary up to £75,000 depending on experience, plus benefits",The Charlesworth Veterinary Surgery are on the hunt for a Veterinary Surgeon to join their fantastic team on a permanent basis.
Veterinary Surgeon,"Birmingham, West Midlands",63000,63000,"The Veterinary Clinic, Great Barr","Salary up to £63,000 depending on experience","Here at The Veterinary Clinic, we are looking for a dedicated Veterinary Surgeon to join the team."
Veterinary Surgeon,"Bath, Somerset",5,75000,Natures Vet,"Salary up to £75,000 depending on experienc5",Natures Vet are looking for an experienced veterinary surgeon to join their fantastic team.
Senior Veterinary Surgeon,Derbyshire,80000,80000,"Easipetcare, Derby","Salary up to £80,000 depending on experience",We are looking for a veterinary surgeon to join us as a Senior/Head vet to lead and mentor the vet team.
Veterinary Surgeon,"New Romney, Kent",63000,63000,Barrow Hill Veterinary Centre - New Romney,"Salary up to £63,000 depending on experience",Calling all passionate vets! Are you ready for an exciting opportunity that offers the best of both worlds?
Veterinary Surgeon,"Gourock, Inverclyde",5000,60000,Shore Veterinary Centre Ltd,"Salary up to £60,000 depending on experience plus a welcome bonus up to £5,000","Here at Shore Veterinary Centre, we are looking for a dedicated Veterinary Surgeon to join our close-knit team."
Veterinary Surgeon,"Pitlochry, Perth and Kinross",3000,70000,Heartland Veterinary Services Ltd,"Salary up to £70,000 depending on experience, and up to £3,000 relocation plus benefits","Are you ready for an exciting vet job that offers flexibility, work-life balance, and a fantastic team culture? Look no further!"
Veterinary Surgeon,"Newbury, Berkshire",70000,70000,Donnington Grove Veterinary Group,"Salary up to £70,000 depending on experience","We are looking for a small animal vet to join our team here at Donnington Grove Vets, Newbury."
Veterinary Surgeon,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,Our busy small animal surgery in Romford is seeking an additional enthusiastic Full Time Veterinary Surgeon to join our established team of 10 vets...
Graduate Veterinary Surgeon - Graduate Development Programme,"Norfolk, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets Norwich Sprowston Vets for Pets is looking for a new or recently graduated vet to join their team and our awa...
Veterinary Surgeon,"North Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Here at York Vets for Pets we are really proud of the supportive and friendly culture we have cultivated within our team. We place real focus on th...
Veterinary Surgeon,"Lochgilphead, Argyll and Bute",32500,,Dalriada Veterinary Surgery,"Salary starting from £32,500 commensurate with experience","New Graduate or Veterinary Surgeon of 1-2 years’ experience preferred, but all enquiries welcome. We would also consider 2 part-time vets."
Small Animal Vet,"Stroud, Gloucestershire",40000,65000,Bowbridge Veterinary Group,"Salary from £40,000 to £65,000","Easy going, independent, GDP registered practice with friendly colleagues and a pleasant rota so you can enjoy life and being a vet."
Veterinary Surgeon,"West Sussex, United Kingdom",,,Vets4Pets,Competitive Salary,"Sara, James and Emma are recruiting for an experienced full time or part time Veterinary Surgeon to join their friendly team based in Crawley, West..."
Veterinary Surgeon,"Buckinghamshire, United Kingdom",,,Vets4Pets,Competitive Salary,"If you are an enthusiastic vet looking to join a great team in a fantastic location, then we have the role for you here at Buckingham Vets4Pets. Yo..."
Practice Ownership,"Bangor, Gwynedd",,,Vets for Pets,Competitive Salary,Partner with Vets for Pets in Bangor to own your own Veterinary Practice and have true clinical independence.
Veterinary Surgeon,"Hereford, Herefordshire",45000,,Holmer Veterinary Surgery,"45,000 depending on experience",We are looking to expand our current team of 6 vets. Ideally looking for a full-time addition but part-time applicants will be considered as well.
Veterinary Surgeon,"Goole, United Kingdom",35000,50000,Wicstun Vet Group,"£35,000 - £50,000 per annum, depending on experience","End Cottage Vets is a dedicated, RCVS accredited small animal practice in Howden, where we pride ourselves in providing the best possible care for..."
Veterinary Surgeon,"Tewkesbury, United Kingdom",60000,60000,Folly Gardens Veterinary Clinic,"£60,000 per annum, Salary up to and depending on experience",": Folly Gardens, part of Linnaeus, are proud to invest in their practices and their staff. We have an independent feel with the genuine support tha..."
Veterinary Surgeon,"Devon, United Kingdom",,,Vets4Pets,Competitive Salary,"""I am passionate for a high standard of care and am proud to have been nominated for 'Vet of the Year' in the 'PetPlan National Veterinary Awards,..."
Veterinary Surgeon,"South Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Competitive Salary - Up to £70K plus Sign On Bonus ● Are you looking for a caring, well-being orientated practice that strives to provide a balance..."
Veterinary Surgeon,"Plymouth, United Kingdom",60000,60000,Vets4Pets,"Salary up to £60,000 depending on experience","We are looking for an experienced vet to join us on a full or part time basis, flexibility with hours and rotas, the role will include a weekend ro..."
Graduate Veterinary Surgeon,"Kent, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Sevenoaks Vets for Pets is looking for a new or recently graduated vet to join their team...
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,Are you an experienced vet looking to join a passionate team where you can learn new skills and really achieve your career goals? What if you could...
Veterinary Surgeon,"Leicestershire, United Kingdom",,,Vets4Pets,Competitive Salary,Are you looking for a new challenge and an opportunity to take your career to the next level? At Loughborough Vets for Pets you will be part of a p...
Graduate Veterinary Surgeon - Graduate Development Programme,"East Midlands, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Lincoln South Vets4Pets is looking for a new or recently graduated vet to join their team...
Veterinary Surgeon,"South Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Are you an enthusiastic Vet looking for your next clinical challenge? We are looking for a Veterinary Surgeon to join our dynamic team in Sheffield...
Graduate Veterinary Surgeon - Graduate Development Programme,"Cheshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Handforth Vets for Pets is looking for a graduate vet to join their team and our award-win...
"Veterinary Surgeon - Oak Beck, Harrogate","Harrogate, North Yorkshire",40000,55000,Medivet,"£40,000 - £55,000 per year","£40,000 - £55,000 per year"
Veterinary Surgeon - South Elmsall,"South Elmsall, Pontefract",55000,55000,Medivet,"Up to £55,000 per year","Up to £55,000 per year"
Veterinary Surgeon - Pontefract,"Pontefract, West Yorkshire",55000,55000,Medivet,"Up to £55,000 per year","Up to £55,000 per year"
Veterinary Surgeon,"Blackburn, Lancashire",38000,38000,Daisy Street Veterinary Centre,"£38,000",Vet Surgeon part- time required at our 1st opinion practice. No on call or weekends. A non corporate practice with clinical freedom.
Night Veterinary Surgeon,"Leigh, United Kingdom",70000,,Linnaeus,"£70,000 per annum, depending on experience","The practice is friendly, forward thinking and encourages career progression through various CPD avenues, many of our current staff have or are pa..."
Veterinary Surgeon,"Swansea, United Kingdom",4000,60000,Gower Veterinary Surgery,"£60,000 per annum, £4,000 welcome bonus, Salary up to and dependent on experience","We are a Primary Care Practice for small animals, which established itself amongst the Swansea community, providing care for thousands of pets eve..."
Veterinary Surgeon,United Kingdom,,,Vets4Pets,Competitive Salary,Join our brand new Tottenham Hale team right from the start and be part of something special! We have recently opened the doors to our state of the...
Graduate Veterinary Surgeon - Graduate Development Programme,"Antrim, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Newtownabbey Vets for Pets is looking for a new or recently graduated vet to join their te...
Veterinary Surgeon,"West Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,"If you're looking for a flexible vet role where you can develop your skills and pursue areas of interest, then we have a great opportunity here for..."
Practice Ownership,"Salisbury, Wiltshire",,,Vets for Pets,Competitive salary,"Owning a practice with Vets for Pets is a true partnership, with dedicated departments on hand to support you in all aspects of business"
Veterinary Surgeon,"Market Drayton, Shropshire",75000,75000,Tern Veterinary Group,"Salary up to £75,000 depending on experience",Explore a world of opportunity at Tern Vets! We are looking for an experienced small animal vet to join our team.
Veterinary Surgeon,"Kettering, Northamptonshire",60000,60000,"Easipetcare, Kettering","Salary up to £60,000 depending on experience",A rare opportunity has become available for a Veterinary Surgeon to join our supportive and friendly team here in Kettering.
Veterinary Surgeon,"Derby, Derbyshire",68000,68000,"Scarsdale Vets, Park Farm","Salary up to £68,000 FTE depending on experience","We have an exciting opening at our thriving practice in Allestree, Derby."
Veterinary Surgeon,"Reading, Berkshire",65000,65000,"Easipetcare, Reading","Salary up to £65,000 depending on experience.","We are looking for a veterinary surgeon to join our Reading practice and work alongside our highly experienced, dedicated team."
Veterinary Surgeon,"Bexhill-on-Sea, East Sussex",85000,85000,"Sussex Coast Vets, Bexhill-on-Sea","Salary up to £85,000 depending on experience, plus benefits",We're looking for an enthusiastic veterinary surgeon to join our friendly team at Sussex Coast Vets.
Veterinary Surgeon,"Lyndhurst, Hampshire",75000,75000,"Midforest Veterinary Practice, Lyndhurst","Salary up to £75,000 depending on experience.",We are looking for a dedicated Veterinary Surgeon to join our Lyndhurst branch within the beautiful New Forest.
Veterinary Surgeon,"Ware, Hertfordshire",75000,75000,Walton Lodge Vets - Ware,"Salary up to £75,000 depending on experience",We have an exciting opportunity for a Veterinary Surgeon to join our friendly and diverse team at Walton Lodge.
Veterinary Surgeon,"High Wycombe, Buckinghamshire",68000,68000,Cherry Tree Veterinary Practice,"Salary up to £68,000 pro rata, depending on experience",We are looking for a full time/part time veterinary surgeon to join three other highly experienced vets at a small village practice.
Veterinary Surgeon,"Oban, Argyll and Bute",65000,65000,Oban Veterinary Surgeons,"Salary up to £65,000 depending on experience",We are looking for a veterinary surgeon to join our friendly team in a predominantly small animal role.
Roving Veterinary Surgeon,Essex and Suffolk,65000,65000,Independent Vetcare,"Salary up to £65,000 depending on experience plus benefits",We have an exciting opportunity for the Essex and surrounding area. We are looking to recruit a Roving Veterinary Surgeon in this fantastic new role.
Practice Ownership,"Maidstone, Kent",,,Vets for Pets,Competitive Salary,This is a true partnership that allows you to realise your dream of becoming a practice owner and reaping the rewards of the huge success it brings.
Practice Ownership,"Guildford, Surrey",,,Vets for Pets,Competitive Salary,This is a true partnership that allows you to realise your dream of becoming a practice owner and reaping the rewards of the huge success it brings.
Graduate Veterinary Surgeon - Graduate Development Programme,"Plymouth, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Plymouth Vets4Pets is looking for a new or recently graduated vet to join their team and o...
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,"We are looking for an experienced veterinary surgeon, to join our team at Companion Care Vets Fareham Park Gate. About Us: We are a friendly, first..."
Graduate Veterinary Surgeon - Graduate Development Programme,"Lancashire, United Kingdom",,,Vets4Pets,Competitive Salary,"Get practice ready with Vets for Pets and Companion Care In the heart of Lancashire, Blackburn Vets for Pets is looking for a new or recently gradu..."
Veterinary Surgeon,"Ilkeston, Derbyshire",40000,60000,Morley Veterinary Practice Ltd,"Salary of £40,000 to £60,000 depending on experience",This opportunity is ideal for individuals looking to enhance their skills and professional growth.
"Veterinary Surgeon - Adlington, Lancashire","Adlington, Chorley",55000,55000,Medivet,"Salary package up to £55,000, dependent on experience",Veterinary Surgeon wanted to join our established team. Full time role - 4 day week
"Veterinary Surgeon - Flexible Working - Newton-le-Willows, St Helens","Newton-Le-Willows, St Helens",50000,50000,Medivet,"Salary package up to £50,000 dependent on experience for the part time role","Looking for the next step? We're seeking an experienced, confident, part time, small animal vet. Joining our professional, personable team at our B..."
Veterinary Surgeon,"Lampeter, Ceredigion (Sir Ceredigion)",65000,65000,Steffan Veterinary Services,"Salary up to £65,000 depending on experience","We have a unique opportunity to contribute to our practice's growth and further enhance our services across livestock, equine and small animals."
Night Veterinary Surgeon - Woodstock 24 Hour,"Woodstock, Oxfordshire",40000,40000,Medivet,"Salary package up to £40,000 per year",Night Vet - Woodstock 24 Hour - 7 nights on 21 nights off - salary 40k per year.
Veterinary Surgeon - Wheatley,"Wheatley, Oxford",30000,30000,Medivet,"Salary £30,000","Part time Vet Surgeon - 2 days per week. Working alongside experienced team at Wheatley practice. Salary £30,000 per year."
Veterinary Surgeon,"Wem, Shrewsbury",55000,60000,Medivet,"Salary £55,000 to £60,000 per year","Veterinary Surgeon, Wem - Salary £55,000 to £60,000 per year"
Veterinary Surgeon,"Bourne, Lincolnshire",65000,65000,Animates Veterinary Clinic Ltd,"Salary up to £65,000 depending on experience",An exciting opportunity has arisen for a full-time or part-time veterinary surgeon to join our friendly and supportive team
Veterinary Surgeon,"Leeds, West Yorkshire",75000,75000,Holmefield Veterinary Clinic,"Salary up to £75,000 depending on experience",Holmefield Vets in Leeds has an exciting opportunity for a Vet Surgeon to join their friendly well-established team.
Veterinary Surgeon,"North Weald, Epping",75000,75000,North Weald Veterinary Surgery,"Salary up to £75,000 depending on experience","We are seeking an experienced small animal veterinary surgeon to join our team here at North Weald Vets, Epping."
Veterinary Surgeon,"Bath, UK",60000,60000,Ashman Jones Vets,"Salary up to £60,000 depending on experience",Are you a small animal vet with an interest in imaging?
Veterinary Surgeon,"Stevenage, UK",80900,80900,Roebuck Veterinary Group,"Salary up to £80,900 depending on experience",How does working only 17.3 weeks of the year sound to you?
Veterinary Surgeon,"Ilminster, Somerset",35000,75000,Minster Veterinary Surgery,"Salary £35,000 to £75,000 depending on experience and qualifications",If you are looking for a practice that encourages your freedom but gives you support...
Internal Medicine Referral Clinician,"Bradley Stoke, Bristol",,,Rowe Veterinary Group - Bradley Stoke,Competitive Salary,An exciting opportunity has arisen for a Referral Medicine Clinician to join our team here at Rowe Referrals in Bristol.
Veterinary Surgeon,"Wolstanton, Newcastle-under-Lyme",75000,75000,"White Cross Vets, Wolstanton","Salary up to £75,000 depending on experience",We have a fantastic opportunity for an additional Veterinary Surgeon to join our friendly and supportive team.
Veterinary Surgeon,"Peterborough, Cambridgeshire",63000,63000,Hampton Veterinary Centre,"Salary up to £63,000 depending on experience","We have an exciting opportunity for you to join our supportive and friendly team here at Hampton Vets, Peterborough."
Maternity Cover Veterinary Surgeon,"Cannock, Staffordshire",65000,65000,Hillman Vets - Cannock,"Salary up to £65,000 depending on experience",Find a supportive team and a world of opportunity at Hillman Vets!
Veterinary Surgeon,"Halesowen, West Midlands",65000,65000,Manor Veterinary Centre,"Salary up to £65,000 depending on experience",Manor Vets in Halesowen are looking for an additional Veterinary Surgeon to join the team.
Veterinary Surgeon,"Alton, Hampshire",75000,75000,Amery Veterinary Group,"Salary up to £75,000 depending on experience","We have a great opportunity for an experienced, small animal Vet to join our close-knit and supportive team."
Veterinary Surgeon,"Chipping Norton, Oxfordshire",63000,63000,Chipping Norton Veterinary Hospital,"Salary up to £63,000 depending on experience","Here at Chipping Norton Veterinary Hospital, we are looking for an experienced Veterinary Surgeon with an interest in medicine to join our team."
Veterinary Surgeon,"Holt, Norfolk",63000,63000,Glaven Veterinary Practice,"Salary up to £63,000 depending on experience, plus welcome bonus",We are looking for an enthusiastic and friendly small animal veterinary surgeon to join our team on a permanent basis.
Veterinary Surgeon,"Fakenham, Norfolk",63000,63000,Wensum Valley Vets,"Salary up to £63,000 depending on experience",Wensum Valley Vets are looking for an Equine/Farm Veterinary Surgeon to join their team.
Veterinary Surgeon,"Ely, Cambridgeshire",60000,60000,Isle Veterinary Group Limited,"Salary up to £60,000 depending on experience","Here at Isle Vets, we are looking for a Farm/Equine Veterinary Surgeon to join our team."
Veterinary Practice Owner,"Wakefield, West Yorkshire",,,Vets for Pets,Competitive salary,This is a fantastic opportunity for an experienced clinician to take over the running of this thriving veterinary practice.
Veterinary Surgeon,"Sidcup (City/Town), London (Greater)",60000,60000,Parkvets,"Salary up to £60,000 depending on experience",We are looking for an experienced and enthusiastic veterinary surgeon to join our fantastic practice.
Graduate Veterinary Surgeon,"Blackpool, Lancashire",34000,34000,"Moy Vets, Hambleton","Salary up to £34,000 depending on experience","Small Animal Graduate Veterinary Surgeon position based in Blackpool, Lancashire."
Interventional Radiology Internship,"Guildford, Surrey",29925,29925,AURA Veterinary Ltd,"Salary up to £29,925 per annum",AURA Veterinary is seeking applications for its Interventional Radiology internship programme.
Veterinary Surgeon - Leckhampton,"Leckhampton, Cheltenham",60000,60000,Medivet,"Salary up to £60,000 dependent on experience",Vet Surgeon - Leckhampton - Full time salary up to 60k DOE. Can be part time 2 days only at Leckhampton or full time 4 days covering Cheltenham area.
Veterinary Surgeon,"Newcastle Upon Tyne, Tyne and Wear",60000,60000,Strachan Tyson Hamilton Ltd,"Salary up to £60,000 per year","Strachan Vets are looking for a Veterinary Surgeon to join our 2 branch, fully independent, small animal practice."
Veterinary Surgeon,"Cossington, Bridgwater",75000,75000,Polden Hills Veterinary Centre,"Salary up to £75,000 depending on experience","Full or part-time first opinion, small animal veterinary surgeon, with or without OOH, no sole charge and no phone duties required."
"Veterinary Surgeon - Horsford, Norwich","Horsford, Norwich",40000,72000,Medivet,"Salary of £40,000 - £72,000 Per Year","Vet Sugeon role, well equipped hospital setting, new lead vet and great support team."
"Veterinary Surgeon - Beeston, Nottinghamshire","Beeston, Nottingham",40000,72000,Medivet,"Salary of £40,000 - £72,000 Per Year","Vet surgeon role, newly expanded practice with great leadership and team."
"Veterinary Surgeon, Nights - Alfreton 24-Hour Hospital, Derbyshire","Alfreton, Derbyshire",40000,72000,Medivet,"Salary of £40,000 - £72,000 Per Year (Pro-Rata)","Night vet, 8 days in 28, fixed-term maternity cover."
Lead Veterinary Surgeon - Washingborough,"Washingborough, Lincolnshire",60000,75000,Medivet,"£60,000 - £75,000 per year","Lead vet role, well-equipped practice, good team, run and grow a practice with support."
"Lead Veterinary Surgeon - Crowle, Lincolnshire","Crowle, Scunthorpe",60000,75000,Medivet,"£60,000 - £75,000 per year",Lead vet role with opportunity for branch partnership if desired.
"Veterinary Surgeon - Hucknall, Nottingham","Hucknall, Nottingham",60000,75000,Medivet,"Salary of £60,000 - £75,000 Per Year","Lead vet role, opportunity to take the next step in your career with support."
